"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",7,7,42.0940000000337,7,0,0,490000,100,0.1,"e7Za7",100,1
"2","pam_kluster",7,7,5.65999999998894,7,0,0,490000,100,0.1,"e7Za7",100,1
"3","cal_kluster",11,15,89.7610000000204,7,4,8,490000,100,0.1,"e7Za7",100,1
"4","ap_kluster",7,7,2.17999999999302,7,0,0,490000,100,0.1,"e7Za7",100,1
"5","BIC_kluster",7,7,122.892999999996,7,0,0,490000,200,0.1,"e7Za7",100,1
"6","pam_kluster",7,7,26.2079999999842,7,0,0,490000,200,0.1,"e7Za7",100,1
"7","cal_kluster",7,7,141.989999999976,7,0,0,490000,200,0.1,"e7Za7",100,1
"8","ap_kluster",8,8,8.00299999994604,7,1,1,490000,200,0.1,"e7Za7",100,1
"9","BIC_kluster",7,7,207.136000000035,7,0,0,490000,300,0.1,"e7Za7",100,1
"10","pam_kluster",7,7,67.336000000003,7,0,0,490000,300,0.1,"e7Za7",100,1
"11","cal_kluster",7,7,199.668999999994,7,0,0,490000,300,0.1,"e7Za7",100,1
"12","ap_kluster",10,10,18.4900000000125,7,3,3,490000,300,0.1,"e7Za7",100,1
"13","BIC_kluster",7,7,287.839999999997,7,0,0,490000,400,0.1,"e7Za7",100,1
"14","pam_kluster",7,7,137.940999999984,7,0,0,490000,400,0.1,"e7Za7",100,1
"15","cal_kluster",7,7,258.342000000041,7,0,0,490000,400,0.1,"e7Za7",100,1
"16","ap_kluster",12,12,33.1329999999507,7,5,5,490000,400,0.1,"e7Za7",100,1
"17","BIC_kluster",7,7,364.754000000037,7,0,0,490000,500,0.1,"e7Za7",100,1
"18","pam_kluster",7,7,237.731999999996,7,0,0,490000,500,0.1,"e7Za7",100,1
"19","cal_kluster",7,7,317.409000000014,7,0,0,490000,500,0.1,"e7Za7",100,1
"20","ap_kluster",14,14,56.0210000000225,7,7,7,490000,500,0.1,"e7Za7",100,1
"21","BIC_kluster",7,7,714.779999999955,7,0,0,490000,1000,0.1,"e7Za7",100,1
"22","pam_kluster",7,7,1253.32600000002,7,0,0,490000,1000,0.1,"e7Za7",100,1
"23","cal_kluster",7,7,663.068999999967,7,0,0,490000,1000,0.1,"e7Za7",100,1
"24","ap_kluster",20,20,272.637000000046,7,13,13,490000,1000,0.1,"e7Za7",100,1
"25","BIC_kluster",7,7,33.0399999999718,7,0,0,490000,100,0.2,"WyMRT",100,1
"26","pam_kluster",7,7,5.39800000002288,7,0,0,490000,100,0.2,"WyMRT",100,1
"27","cal_kluster",10,7,87.851999999999,7,3,0,490000,100,0.2,"WyMRT",100,1
"28","ap_kluster",7,7,2.1050000000032,7,0,0,490000,100,0.2,"WyMRT",100,1
"29","BIC_kluster",7,7,101.691000000006,7,0,0,490000,200,0.2,"WyMRT",100,1
"30","pam_kluster",7,7,25.0299999999843,7,0,0,490000,200,0.2,"WyMRT",100,1
"31","cal_kluster",7,7,136.900999999983,7,0,0,490000,200,0.2,"WyMRT",100,1
