"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",4,3,54.1240000000001,14,-10,-11,1960000,100,0.1,"PPUyY",100,1
"2","pam_kluster",9,2,5.52699999999995,14,-5,-12,1960000,100,0.1,"PPUyY",100,1
"3","cal_kluster",15,15,88.0819999999999,14,1,1,1960000,100,0.1,"PPUyY",100,1
"4","ap_kluster",8,8,2.23900000000014,14,-6,-6,1960000,100,0.1,"PPUyY",100,1
"5","BIC_kluster",7,14,116.046,14,-7,0,1960000,200,0.1,"PPUyY",100,1
"6","pam_kluster",10,14,24.8999999999997,14,-4,0,1960000,200,0.1,"PPUyY",100,1
"7","cal_kluster",15,15,136.199,14,1,1,1960000,200,0.1,"PPUyY",100,1
"8","ap_kluster",13,13,8.6840000000002,14,-1,-1,1960000,200,0.1,"PPUyY",100,1
"9","BIC_kluster",14,14,176.147,14,0,0,1960000,300,0.1,"PPUyY",100,1
"10","pam_kluster",11,14,61.0499999999994,14,-3,0,1960000,300,0.1,"PPUyY",100,1
"11","cal_kluster",15,15,195.653000000001,14,1,1,1960000,300,0.1,"PPUyY",100,1
"12","ap_kluster",14,14,19.549,14,0,0,1960000,300,0.1,"PPUyY",100,1
"13","BIC_kluster",14,14,236.279000000001,14,0,0,1960000,400,0.1,"PPUyY",100,1
"14","pam_kluster",12,14,118.282999999999,14,-2,0,1960000,400,0.1,"PPUyY",100,1
"15","cal_kluster",15,15,242.676000000002,14,1,1,1960000,400,0.1,"PPUyY",100,1
"16","ap_kluster",14,14,29.4439999999991,14,0,0,1960000,400,0.1,"PPUyY",100,1
"17","BIC_kluster",14,14,318.814000000001,14,0,0,1960000,500,0.1,"PPUyY",100,1
"18","pam_kluster",11,14,206.612999999999,14,-3,0,1960000,500,0.1,"PPUyY",100,1
"19","cal_kluster",15,15,306.326999999998,14,1,1,1960000,500,0.1,"PPUyY",100,1
"20","ap_kluster",14,14,49.9560000000024,14,0,0,1960000,500,0.1,"PPUyY",100,1
"21","BIC_kluster",14,14,755.310999999999,14,0,0,1960000,1000,0.1,"PPUyY",100,1
"22","pam_kluster",13,14,1013.453,14,-1,0,1960000,1000,0.1,"PPUyY",100,1
"23","cal_kluster",15,15,617.537000000002,14,1,1,1960000,1000,0.1,"PPUyY",100,1
"24","ap_kluster",15,15,228.337999999998,14,1,1,1960000,1000,0.1,"PPUyY",100,1
"25","BIC_kluster",7,3,43.8349999999964,14,-7,-11,1960000,100,0.2,"VVNCc",100,1
"26","pam_kluster",14,14,5.37500000000273,14,0,0,1960000,100,0.2,"VVNCc",100,1
"27","cal_kluster",15,15,96.7619999999979,14,1,1,1960000,100,0.2,"VVNCc",100,1
"28","ap_kluster",8,8,3.208000000006,14,-6,-6,1960000,100,0.2,"VVNCc",100,1
"29","BIC_kluster",14,14,90.8699999999999,14,0,0,1960000,200,0.2,"VVNCc",100,1
