"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",5,2,39.1850000000013,10,-5,-8,1000000,100,0.1,"gLf9b",100,1
"2","pam_kluster",10,10,5.33200000000215,10,0,0,1000000,100,0.1,"gLf9b",100,1
"3","cal_kluster",13,15,85.7350000000079,10,3,5,1000000,100,0.1,"gLf9b",100,1
"4","ap_kluster",9,9,2.02199999998629,10,-1,-1,1000000,100,0.1,"gLf9b",100,1
"5","BIC_kluster",10,10,99.3789999999935,10,0,0,1000000,200,0.1,"gLf9b",100,1
"6","pam_kluster",10,10,23.4200000000201,10,0,0,1000000,200,0.1,"gLf9b",100,1
"7","cal_kluster",11,10,133.685000000005,10,1,0,1000000,200,0.1,"gLf9b",100,1
"8","ap_kluster",10,10,7.4890000000014,10,0,0,1000000,200,0.1,"gLf9b",100,1
"9","BIC_kluster",10,10,168.720000000005,10,0,0,1000000,300,0.1,"gLf9b",100,1
"10","pam_kluster",10,10,60.6510000000162,10,0,0,1000000,300,0.1,"gLf9b",100,1
"11","cal_kluster",10,10,182.685999999998,10,0,0,1000000,300,0.1,"gLf9b",100,1
"12","ap_kluster",10,10,16.4189999999908,10,0,0,1000000,300,0.1,"gLf9b",100,1
"13","BIC_kluster",10,10,231.285000000011,10,0,0,1000000,400,0.1,"gLf9b",100,1
"14","pam_kluster",10,10,117.937999999987,10,0,0,1000000,400,0.1,"gLf9b",100,1
"15","cal_kluster",10,10,235.092000000037,10,0,0,1000000,400,0.1,"gLf9b",100,1
"16","ap_kluster",10,10,27.8419999999678,10,0,0,1000000,400,0.1,"gLf9b",100,1
"17","BIC_kluster",10,10,303.387999999992,10,0,0,1000000,500,0.1,"gLf9b",100,1
"18","pam_kluster",10,10,199.896000000026,10,0,0,1000000,500,0.1,"gLf9b",100,1
"19","cal_kluster",10,10,290.195999999989,10,0,0,1000000,500,0.1,"gLf9b",100,1
"20","ap_kluster",10,10,44.8039999999928,10,0,0,1000000,500,0.1,"gLf9b",100,1
"21","BIC_kluster",10,10,659.189000000017,10,0,0,1000000,1000,0.1,"gLf9b",100,1
"22","pam_kluster",10,10,997.594999999979,10,0,0,1000000,1000,0.1,"gLf9b",100,1
"23","cal_kluster",10,10,590.762999999966,10,0,0,1000000,1000,0.1,"gLf9b",100,1
"24","ap_kluster",16,15,278.52900000002,10,6,5,1000000,1000,0.1,"gLf9b",100,1
"25","BIC_kluster",9,10,31.7900000000081,10,-1,0,1000000,100,0.2,"a8AN7",100,1
"26","pam_kluster",10,10,5.24100000001636,10,0,0,1000000,100,0.2,"a8AN7",100,1
"27","cal_kluster",14,15,86.6189999999988,10,4,5,1000000,100,0.2,"a8AN7",100,1
"28","ap_kluster",10,10,1.95000000001164,10,0,0,1000000,100,0.2,"a8AN7",100,1
"29","BIC_kluster",11,10,77.4989999999962,10,1,0,1000000,200,0.2,"a8AN7",100,1
"30","pam_kluster",10,10,23.5840000000026,10,0,0,1000000,200,0.2,"a8AN7",100,1
"31","cal_kluster",12,11,131.393999999993,10,2,1,1000000,200,0.2,"a8AN7",100,1
"32","ap_kluster",10,10,7.64100000003964,10,0,0,1000000,200,0.2,"a8AN7",100,1
"33","BIC_kluster",11,10,135.908999999992,10,1,0,1000000,300,0.2,"a8AN7",100,1
"34","pam_kluster",10,10,59.3140000000276,10,0,0,1000000,300,0.2,"a8AN7",100,1
"35","cal_kluster",11,11,181.801000000021,10,1,1,1000000,300,0.2,"a8AN7",100,1
"36","ap_kluster",10,10,18.7270000000062,10,0,0,1000000,300,0.2,"a8AN7",100,1
"37","BIC_kluster",10,10,194.422000000035,10,0,0,1000000,400,0.2,"a8AN7",100,1
"38","pam_kluster",10,10,115.288999999968,10,0,0,1000000,400,0.2,"a8AN7",100,1
"39","cal_kluster",11,11,227.503999999986,10,1,1,1000000,400,0.2,"a8AN7",100,1
"40","ap_kluster",10,10,31.373000000036,10,0,0,1000000,400,0.2,"a8AN7",100,1
"41","BIC_kluster",10,10,250.237000000001,10,0,0,1000000,500,0.2,"a8AN7",100,1
"42","pam_kluster",10,10,199.344000000012,10,0,0,1000000,500,0.2,"a8AN7",100,1
"43","cal_kluster",11,11,276.395000000019,10,1,1,1000000,500,0.2,"a8AN7",100,1
"44","ap_kluster",11,11,50.7119999999777,10,1,1,1000000,500,0.2,"a8AN7",100,1
"45","BIC_kluster",10,10,553.520999999964,10,0,0,1000000,1000,0.2,"a8AN7",100,1
"46","pam_kluster",10,10,942.427000000003,10,0,0,1000000,1000,0.2,"a8AN7",100,1
"47","cal_kluster",11,11,533.733000000007,10,1,1,1000000,1000,0.2,"a8AN7",100,1
"48","ap_kluster",13,13,274.229999999981,10,3,3,1000000,1000,0.2,"a8AN7",100,1
"49","BIC_kluster",10,10,27.3999999999724,10,0,0,1000000,100,0.3,"IXAD3",100,1
