"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"56","ap_kluster",14,14,8.10199999996257,15,-1,-1,2250000,200,0.3,"VAN4I",100,1
"57","BIC_kluster",15,15,95.4369999999908,15,0,0,2250000,300,0.3,"VAN4I",100,1
"58","pam_kluster",15,15,57.0309999999736,15,0,0,2250000,300,0.3,"VAN4I",100,1
"59","cal_kluster",15,15,185.166000000048,15,0,0,2250000,300,0.3,"VAN4I",100,1
"60","ap_kluster",15,15,17.2309999999779,15,0,0,2250000,300,0.3,"VAN4I",100,1
"61","BIC_kluster",15,15,134.916999999972,15,0,0,2250000,400,0.3,"VAN4I",100,1
"62","pam_kluster",15,15,108.400000000009,15,0,0,2250000,400,0.3,"VAN4I",100,1
"63","cal_kluster",15,15,235.752000000022,15,0,0,2250000,400,0.3,"VAN4I",100,1
"64","ap_kluster",15,15,27.3500000000131,15,0,0,2250000,400,0.3,"VAN4I",100,1
"65","BIC_kluster",15,15,190.403000000064,15,0,0,2250000,500,0.3,"VAN4I",100,1
"66","pam_kluster",15,15,183.746999999981,15,0,0,2250000,500,0.3,"VAN4I",100,1
"67","cal_kluster",15,15,285.430999999997,15,0,0,2250000,500,0.3,"VAN4I",100,1
"68","ap_kluster",15,15,42.9619999999704,15,0,0,2250000,500,0.3,"VAN4I",100,1
"69","BIC_kluster",15,15,566.937999999973,15,0,0,2250000,1000,0.3,"VAN4I",100,1
"70","pam_kluster",15,15,884.230000000018,15,0,0,2250000,1000,0.3,"VAN4I",100,1
"71","cal_kluster",15,15,550.470999999983,15,0,0,2250000,1000,0.3,"VAN4I",100,1
"72","ap_kluster",15,15,184.544000000016,15,0,0,2250000,1000,0.3,"VAN4I",100,1
"73","BIC_kluster",15,15,35.4780000000319,15,0,0,2250000,100,0.4,"6vAvH",100,1
"74","pam_kluster",15,15,5.27800000002753,15,0,0,2250000,100,0.4,"6vAvH",100,1
"75","cal_kluster",15,15,83.4439999999377,15,0,0,2250000,100,0.4,"6vAvH",100,1
"76","ap_kluster",8,9,2.83300000005693,15,-7,-6,2250000,100,0.4,"6vAvH",100,1
"77","BIC_kluster",15,15,69.9839999999822,15,0,0,2250000,200,0.4,"6vAvH",100,1
"78","pam_kluster",15,15,23.0400000000154,15,0,0,2250000,200,0.4,"6vAvH",100,1
"79","cal_kluster",15,15,120.18099999999,15,0,0,2250000,200,0.4,"6vAvH",100,1
"80","ap_kluster",14,15,8.07300000001123,15,-1,0,2250000,200,0.4,"6vAvH",100,1
"81","BIC_kluster",15,15,107.249999999964,15,0,0,2250000,300,0.4,"6vAvH",100,1
"82","pam_kluster",15,15,57.2019999999393,15,0,0,2250000,300,0.4,"6vAvH",100,1
"83","cal_kluster",15,15,157.201000000045,15,0,0,2250000,300,0.4,"6vAvH",100,1
"84","ap_kluster",15,15,17.4869999999792,15,0,0,2250000,300,0.4,"6vAvH",100,1
"85","BIC_kluster",15,15,143.329000000071,15,0,0,2250000,400,0.4,"6vAvH",100,1
"86","pam_kluster",15,15,109.421999999977,15,0,0,2250000,400,0.4,"6vAvH",100,1
"87","cal_kluster",15,15,196.266000000003,15,0,0,2250000,400,0.4,"6vAvH",100,1
"88","ap_kluster",15,15,27.7969999999987,15,0,0,2250000,400,0.4,"6vAvH",100,1
"89","BIC_kluster",15,15,185.649000000005,15,0,0,2250000,500,0.4,"6vAvH",100,1
"90","pam_kluster",15,15,185.751000000004,15,0,0,2250000,500,0.4,"6vAvH",100,1
"91","cal_kluster",15,15,234.588000000011,15,0,0,2250000,500,0.4,"6vAvH",100,1
"92","ap_kluster",15,15,43.1869999999544,15,0,0,2250000,500,0.4,"6vAvH",100,1
"93","BIC_kluster",15,15,495.977999999988,15,0,0,2250000,1000,0.4,"6vAvH",100,1
"94","pam_kluster",15,15,852.857000000004,15,0,0,2250000,1000,0.4,"6vAvH",100,1
"95","cal_kluster",15,15,435.869999999966,15,0,0,2250000,1000,0.4,"6vAvH",100,1
"96","ap_kluster",15,15,180.652000000024,15,0,0,2250000,1000,0.4,"6vAvH",100,1
"97","BIC_kluster",15,15,29.4010000000344,15,0,0,2250000,100,0.5,"VW5ZX",100,1
"98","pam_kluster",15,15,5.37699999998586,15,0,0,2250000,100,0.5,"VW5ZX",100,1
"99","cal_kluster",15,15,81.1219999999958,15,0,0,2250000,100,0.5,"VW5ZX",100,1
"100","ap_kluster",9,8,2.55200000001787,15,-6,-7,2250000,100,0.5,"VW5ZX",100,1
"101","BIC_kluster",15,15,51.1790000000183,15,0,0,2250000,200,0.5,"VW5ZX",100,1
"102","pam_kluster",15,15,22.9130000000005,15,0,0,2250000,200,0.5,"VW5ZX",100,1
"103","cal_kluster",15,15,116.796000000002,15,0,0,2250000,200,0.5,"VW5ZX",100,1
"104","ap_kluster",14,15,8.22099999996863,15,-1,0,2250000,200,0.5,"VW5ZX",100,1
"105","BIC_kluster",15,15,70.314000000013,15,0,0,2250000,300,0.5,"VW5ZX",100,1
"106","pam_kluster",15,15,55.5219999999463,15,0,0,2250000,300,0.5,"VW5ZX",100,1
"107","cal_kluster",15,15,150.803000000022,15,0,0,2250000,300,0.5,"VW5ZX",100,1
"108","ap_kluster",15,15,18.003999999979,15,0,0,2250000,300,0.5,"VW5ZX",100,1
"109","BIC_kluster",15,15,89.8790000000299,15,0,0,2250000,400,0.5,"VW5ZX",100,1
"110","pam_kluster",15,15,107.802000000011,15,0,0,2250000,400,0.5,"VW5ZX",100,1
"111","cal_kluster",15,15,186.583000000028,15,0,0,2250000,400,0.5,"VW5ZX",100,1
"112","ap_kluster",15,15,28.4499999999389,15,0,0,2250000,400,0.5,"VW5ZX",100,1
"113","BIC_kluster",15,15,114.214999999989,15,0,0,2250000,500,0.5,"VW5ZX",100,1
"114","pam_kluster",15,15,178.278000000006,15,0,0,2250000,500,0.5,"VW5ZX",100,1
"115","cal_kluster",15,15,221.765000000065,15,0,0,2250000,500,0.5,"VW5ZX",100,1
"116","ap_kluster",15,15,44.3079999999318,15,0,0,2250000,500,0.5,"VW5ZX",100,1
"117","BIC_kluster",15,15,293.771999999954,15,0,0,2250000,1000,0.5,"VW5ZX",100,1
"118","pam_kluster",15,15,830.599000000002,15,0,0,2250000,1000,0.5,"VW5ZX",100,1
"119","cal_kluster",15,15,400.173999999985,15,0,0,2250000,1000,0.5,"VW5ZX",100,1
"120","ap_kluster",15,15,197.830000000053,15,0,0,2250000,1000,0.5,"VW5ZX",100,1
"121","BIC_kluster",15,15,27.3299999999872,15,0,0,2250000,100,0.6,"UwBD6",100,1
"122","pam_kluster",15,15,5.387000000017,15,0,0,2250000,100,0.6,"UwBD6",100,1
"123","cal_kluster",15,15,83.2060000000347,15,0,0,2250000,100,0.6,"UwBD6",100,1
"124","ap_kluster",9,10,2.46199999996315,15,-6,-5,2250000,100,0.6,"UwBD6",100,1
"125","BIC_kluster",15,15,45.5159999999742,15,0,0,2250000,200,0.6,"UwBD6",100,1
"126","pam_kluster",15,15,22.8789999999863,15,0,0,2250000,200,0.6,"UwBD6",100,1
"127","cal_kluster",15,15,120.126000000026,15,0,0,2250000,200,0.6,"UwBD6",100,1
"128","ap_kluster",15,15,8.40799999996671,15,0,0,2250000,200,0.6,"UwBD6",100,1
"129","BIC_kluster",15,15,64.1139999999796,15,0,0,2250000,300,0.6,"UwBD6",100,1
"130","pam_kluster",15,15,58.0310000000391,15,0,0,2250000,300,0.6,"UwBD6",100,1
"131","cal_kluster",15,15,156.097999999962,15,0,0,2250000,300,0.6,"UwBD6",100,1
"132","ap_kluster",15,15,17.702999999965,15,0,0,2250000,300,0.6,"UwBD6",100,1
"133","BIC_kluster",15,15,79.2689999999857,15,0,0,2250000,400,0.6,"UwBD6",100,1
"134","pam_kluster",15,15,110.193000000028,15,0,0,2250000,400,0.6,"UwBD6",100,1
"135","cal_kluster",15,15,192.345000000016,15,0,0,2250000,400,0.6,"UwBD6",100,1
"136","ap_kluster",15,15,28.4469999999783,15,0,0,2250000,400,0.6,"UwBD6",100,1
"137","BIC_kluster",15,15,95.1150000000562,15,0,0,2250000,500,0.6,"UwBD6",100,1
"138","pam_kluster",15,15,183.327999999994,15,0,0,2250000,500,0.6,"UwBD6",100,1
"139","cal_kluster",15,15,227.782999999996,15,0,0,2250000,500,0.6,"UwBD6",100,1
"140","ap_kluster",15,15,43.9959999999628,15,0,0,2250000,500,0.6,"UwBD6",100,1
"141","BIC_kluster",15,15,238.236000000041,15,0,0,2250000,1000,0.6,"UwBD6",100,1
"142","pam_kluster",15,15,853.681999999993,15,0,0,2250000,1000,0.6,"UwBD6",100,1
"143","cal_kluster",15,15,405.384000000027,15,0,0,2250000,1000,0.6,"UwBD6",100,1
"144","ap_kluster",15,15,197.32499999999,15,0,0,2250000,1000,0.6,"UwBD6",100,1
"145","BIC_kluster",15,15,28.7369999999792,15,0,0,2250000,100,0.7,"nfDCo",100,1
"146","pam_kluster",15,15,5.35399999999936,15,0,0,2250000,100,0.7,"nfDCo",100,1
"147","cal_kluster",15,15,76.7380000000121,15,0,0,2250000,100,0.7,"nfDCo",100,1
"148","ap_kluster",10,11,2.64999999994325,15,-5,-4,2250000,100,0.7,"nfDCo",100,1
"149","BIC_kluster",15,15,53.0119999999588,15,0,0,2250000,200,0.7,"nfDCo",100,1
"150","pam_kluster",15,15,23.5680000000502,15,0,0,2250000,200,0.7,"nfDCo",100,1
"151","cal_kluster",15,15,108.83099999994,15,0,0,2250000,200,0.7,"nfDCo",100,1
"152","ap_kluster",15,15,8.55800000003364,15,0,0,2250000,200,0.7,"nfDCo",100,1
"153","BIC_kluster",15,15,76.6580000000395,15,0,0,2250000,300,0.7,"nfDCo",100,1
"154","pam_kluster",15,15,57.822999999953,15,0,0,2250000,300,0.7,"nfDCo",100,1
"155","cal_kluster",15,15,139.756000000008,15,0,0,2250000,300,0.7,"nfDCo",100,1
"156","ap_kluster",15,15,17.8540000000357,15,0,0,2250000,300,0.7,"nfDCo",100,1
"157","BIC_kluster",15,15,103.173000000017,15,0,0,2250000,400,0.7,"nfDCo",100,1
"158","pam_kluster",15,15,107.898000000023,15,0,0,2250000,400,0.7,"nfDCo",100,1
"159","cal_kluster",15,15,170.662999999971,15,0,0,2250000,400,0.7,"nfDCo",100,1
"160","ap_kluster",15,15,28.7619999999661,15,0,0,2250000,400,0.7,"nfDCo",100,1
"161","BIC_kluster",15,15,127.870999999992,15,0,0,2250000,500,0.7,"nfDCo",100,1
"162","pam_kluster",15,15,185.859999999993,15,0,0,2250000,500,0.7,"nfDCo",100,1
"163","cal_kluster",15,15,200.842000000011,15,0,0,2250000,500,0.7,"nfDCo",100,1
"164","ap_kluster",15,15,44.9210000000094,15,0,0,2250000,500,0.7,"nfDCo",100,1
"165","BIC_kluster",15,15,266.459999999919,15,0,0,2250000,1000,0.7,"nfDCo",100,1
"166","pam_kluster",15,15,836.659000000043,15,0,0,2250000,1000,0.7,"nfDCo",100,1
"167","cal_kluster",15,15,355.478999999941,15,0,0,2250000,1000,0.7,"nfDCo",100,1
"168","ap_kluster",15,15,198.779000000031,15,0,0,2250000,1000,0.7,"nfDCo",100,1
