"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",4,4,51.4560000000201,4,0,0,160000,100,0.1,"w7XjR",100,1
"2","pam_kluster",3,4,5.39299999999639,4,-1,0,160000,100,0.1,"w7XjR",100,1
"3","cal_kluster",4,4,91.3459999999905,4,0,0,160000,100,0.1,"w7XjR",100,1
"4","ap_kluster",5,5,2.51299999997718,4,1,1,160000,100,0.1,"w7XjR",100,1
"5","BIC_kluster",4,4,171.360000000022,4,0,0,160000,200,0.1,"w7XjR",100,1
"6","pam_kluster",4,4,26.3170000000173,4,0,0,160000,200,0.1,"w7XjR",100,1
"7","cal_kluster",4,4,143.460999999967,4,0,0,160000,200,0.1,"w7XjR",100,1
"8","ap_kluster",8,8,8.75900000001275,4,4,4,160000,200,0.1,"w7XjR",100,1
"9","BIC_kluster",4,4,292.318000000021,4,0,0,160000,300,0.1,"w7XjR",100,1
"10","pam_kluster",4,4,71.1979999999894,4,0,0,160000,300,0.1,"w7XjR",100,1
"11","cal_kluster",4,4,198.949000000044,4,0,0,160000,300,0.1,"w7XjR",100,1
"12","ap_kluster",9,9,20.9019999999728,4,5,5,160000,300,0.1,"w7XjR",100,1
"13","BIC_kluster",4,4,404.574999999975,4,0,0,160000,400,0.1,"w7XjR",100,1
"14","pam_kluster",4,4,134.02300000003,4,0,0,160000,400,0.1,"w7XjR",100,1
"15","cal_kluster",4,4,261.28100000001,4,0,0,160000,400,0.1,"w7XjR",100,1
"16","ap_kluster",11,11,34.7060000000056,4,7,7,160000,400,0.1,"w7XjR",100,1
"17","BIC_kluster",4,4,513.012000000002,4,0,0,160000,500,0.1,"w7XjR",100,1
"18","pam_kluster",4,4,243.086000000003,4,0,0,160000,500,0.1,"w7XjR",100,1
"19","cal_kluster",4,4,326.41899999998,4,0,0,160000,500,0.1,"w7XjR",100,1
"20","ap_kluster",13,13,55.1209999999919,4,9,9,160000,500,0.1,"w7XjR",100,1
"21","BIC_kluster",4,4,941.585000000057,4,0,0,160000,1000,0.1,"w7XjR",100,1
"22","pam_kluster",4,4,1261.40699999995,4,0,0,160000,1000,0.1,"w7XjR",100,1
"23","cal_kluster",4,4,702.537000000026,4,0,0,160000,1000,0.1,"w7XjR",100,1
"24","ap_kluster",19,19,289.85700000004,4,15,15,160000,1000,0.1,"w7XjR",100,1
"25","BIC_kluster",4,4,50.7830000000395,4,0,0,160000,100,0.2,"qpiZg",100,1
"26","pam_kluster",4,4,5.48200000002544,4,0,0,160000,100,0.2,"qpiZg",100,1
"27","cal_kluster",4,4,92.3450000000666,4,0,0,160000,100,0.2,"qpiZg",100,1
"28","ap_kluster",5,4,2.4879999999539,4,1,0,160000,100,0.2,"qpiZg",100,1
"29","BIC_kluster",4,4,159.224999999977,4,0,0,160000,200,0.2,"qpiZg",100,1
"30","pam_kluster",4,4,26.4470000000074,4,0,0,160000,200,0.2,"qpiZg",100,1
"31","cal_kluster",4,4,135.791000000019,4,0,0,160000,200,0.2,"qpiZg",100,1
"32","ap_kluster",7,7,8.73599999994622,4,3,3,160000,200,0.2,"qpiZg",100,1
"33","BIC_kluster",4,4,279.592000000004,4,0,0,160000,300,0.2,"qpiZg",100,1
"34","pam_kluster",4,4,70.778999999995,4,0,0,160000,300,0.2,"qpiZg",100,1
"35","cal_kluster",4,4,187.64500000004,4,0,0,160000,300,0.2,"qpiZg",100,1
"36","ap_kluster",9,8,19.870999999941,4,5,4,160000,300,0.2,"qpiZg",100,1
"37","BIC_kluster",4,4,388.691000000028,4,0,0,160000,400,0.2,"qpiZg",100,1
"38","pam_kluster",4,4,145.457999999991,4,0,0,160000,400,0.2,"qpiZg",100,1
"39","cal_kluster",4,4,242.168999999965,4,0,0,160000,400,0.2,"qpiZg",100,1
"40","ap_kluster",10,10,34.0390000000407,4,6,6,160000,400,0.2,"qpiZg",100,1
"41","BIC_kluster",4,4,482.654999999977,4,0,0,160000,500,0.2,"qpiZg",100,1
"42","pam_kluster",4,4,244.199999999975,4,0,0,160000,500,0.2,"qpiZg",100,1
"43","cal_kluster",4,4,303.508000000038,4,0,0,160000,500,0.2,"qpiZg",100,1
"44","ap_kluster",12,12,57.1989999999787,4,8,8,160000,500,0.2,"qpiZg",100,1
"45","BIC_kluster",4,4,853.538000000008,4,0,0,160000,1000,0.2,"qpiZg",100,1
"46","pam_kluster",4,4,1320.71999999999,4,0,0,160000,1000,0.2,"qpiZg",100,1
"47","cal_kluster",4,4,618.577999999994,4,0,0,160000,1000,0.2,"qpiZg",100,1
"48","ap_kluster",17,17,287.801999999989,4,13,13,160000,1000,0.2,"qpiZg",100,1
"49","BIC_kluster",4,4,42.7569999999832,4,0,0,160000,100,0.3,"rjyK9",100,1
"50","pam_kluster",4,4,5.40200000000914,4,0,0,160000,100,0.3,"rjyK9",100,1
"51","cal_kluster",4,4,87.8009999999776,4,0,0,160000,100,0.3,"rjyK9",100,1
"52","ap_kluster",4,4,2.28700000001845,4,0,0,160000,100,0.3,"rjyK9",100,1
"53","BIC_kluster",4,4,145.237000000052,4,0,0,160000,200,0.3,"rjyK9",100,1
"54","pam_kluster",4,4,26.324999999968,4,0,0,160000,200,0.3,"rjyK9",100,1
"55","cal_kluster",4,4,130.180000000029,4,0,0,160000,200,0.3,"rjyK9",100,1
"56","ap_kluster",4,4,8.7409999999727,4,0,0,160000,200,0.3,"rjyK9",100,1
"57","BIC_kluster",4,4,267.386999999988,4,0,0,160000,300,0.3,"rjyK9",100,1
"58","pam_kluster",4,4,69.2300000000105,4,0,0,160000,300,0.3,"rjyK9",100,1
"59","cal_kluster",4,4,174.751999999979,4,0,0,160000,300,0.3,"rjyK9",100,1
"60","ap_kluster",6,6,19.1580000000249,4,2,2,160000,300,0.3,"rjyK9",100,1
"61","BIC_kluster",4,4,379.186999999984,4,0,0,160000,400,0.3,"rjyK9",100,1
