"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",4,3,46.672,12,-8,-9,1440000,100,0.1,"ISeg7",100,1
"2","pam_kluster",9,12,5.47600000000006,12,-3,0,1440000,100,0.1,"ISeg7",100,1
"3","cal_kluster",14,15,96.231,12,2,3,1440000,100,0.1,"ISeg7",100,1
"4","ap_kluster",9,9,2.05700000000007,12,-3,-3,1440000,100,0.1,"ISeg7",100,1
"5","BIC_kluster",11,12,99.0050000000002,12,-1,0,1440000,200,0.1,"ISeg7",100,1
"6","pam_kluster",10,12,24.1969999999998,12,-2,0,1440000,200,0.1,"ISeg7",100,1
"7","cal_kluster",12,12,156.267,12,0,0,1440000,200,0.1,"ISeg7",100,1
"8","ap_kluster",12,12,8.07599999999971,12,0,0,1440000,200,0.1,"ISeg7",100,1
"9","BIC_kluster",12,12,156.764,12,0,0,1440000,300,0.1,"ISeg7",100,1
"10","pam_kluster",11,12,60.0929999999996,12,-1,0,1440000,300,0.1,"ISeg7",100,1
"11","cal_kluster",12,12,227.386,12,0,0,1440000,300,0.1,"ISeg7",100,1
"12","ap_kluster",12,12,18.7940000000004,12,0,0,1440000,300,0.1,"ISeg7",100,1
"13","BIC_kluster",12,12,210.926999999999,12,0,0,1440000,400,0.1,"ISeg7",100,1
"14","pam_kluster",11,12,115.005000000002,12,-1,0,1440000,400,0.1,"ISeg7",100,1
"15","cal_kluster",12,12,291.910999999999,12,0,0,1440000,400,0.1,"ISeg7",100,1
"16","ap_kluster",12,12,30.51,12,0,0,1440000,400,0.1,"ISeg7",100,1
"17","BIC_kluster",12,12,263.290999999999,12,0,0,1440000,500,0.1,"ISeg7",100,1
"18","pam_kluster",11,12,194.071000000001,12,-1,0,1440000,500,0.1,"ISeg7",100,1
"19","cal_kluster",12,12,364.701,12,0,0,1440000,500,0.1,"ISeg7",100,1
"20","ap_kluster",12,12,47.3119999999985,12,0,0,1440000,500,0.1,"ISeg7",100,1
"21","BIC_kluster",12,12,548.644999999998,12,0,0,1440000,1000,0.1,"ISeg7",100,1
"22","pam_kluster",12,12,997.961999999998,12,0,0,1440000,1000,0.1,"ISeg7",100,1
"23","cal_kluster",12,12,745.097,12,0,0,1440000,1000,0.1,"ISeg7",100,1
"24","ap_kluster",13,13,267.637000000005,12,1,1,1440000,1000,0.1,"ISeg7",100,1
"25","BIC_kluster",8,12,37.926999999997,12,-4,0,1440000,100,0.2,"LbcfP",100,1
"26","pam_kluster",12,12,5.41800000000239,12,0,0,1440000,100,0.2,"LbcfP",100,1
"27","cal_kluster",13,12,90.8859999999995,12,1,0,1440000,100,0.2,"LbcfP",100,1
"28","ap_kluster",9,10,2.95600000000195,12,-3,-2,1440000,100,0.2,"LbcfP",100,1
"29","BIC_kluster",12,12,84.9380000000019,12,0,0,1440000,200,0.2,"LbcfP",100,1
"30","pam_kluster",12,12,23.078999999997,12,0,0,1440000,200,0.2,"LbcfP",100,1
"31","cal_kluster",12,12,138.299999999997,12,0,0,1440000,200,0.2,"LbcfP",100,1
"32","ap_kluster",12,12,8.44499999999607,12,0,0,1440000,200,0.2,"LbcfP",100,1
"33","BIC_kluster",12,12,139.335999999998,12,0,0,1440000,300,0.2,"LbcfP",100,1
"34","pam_kluster",12,12,56.8340000000007,12,0,0,1440000,300,0.2,"LbcfP",100,1
"35","cal_kluster",12,12,185.49,12,0,0,1440000,300,0.2,"LbcfP",100,1
"36","ap_kluster",12,12,18.5819999999994,12,0,0,1440000,300,0.2,"LbcfP",100,1
"37","BIC_kluster",12,12,202.824000000001,12,0,0,1440000,400,0.2,"LbcfP",100,1
"38","pam_kluster",12,12,108.838000000002,12,0,0,1440000,400,0.2,"LbcfP",100,1
"39","cal_kluster",12,12,232.565999999994,12,0,0,1440000,400,0.2,"LbcfP",100,1
"40","ap_kluster",12,12,31.0910000000022,12,0,0,1440000,400,0.2,"LbcfP",100,1
"41","BIC_kluster",12,12,273.737000000005,12,0,0,1440000,500,0.2,"LbcfP",100,1
"42","pam_kluster",12,12,186.183000000001,12,0,0,1440000,500,0.2,"LbcfP",100,1
"43","cal_kluster",12,12,282.128000000004,12,0,0,1440000,500,0.2,"LbcfP",100,1
"44","ap_kluster",12,12,48.786999999993,12,0,0,1440000,500,0.2,"LbcfP",100,1
"45","BIC_kluster",13,12,650.359000000006,12,1,0,1440000,1000,0.2,"LbcfP",100,1
"46","pam_kluster",12,12,900.557999999996,12,0,0,1440000,1000,0.2,"LbcfP",100,1
"47","cal_kluster",12,12,560.343000000016,12,0,0,1440000,1000,0.2,"LbcfP",100,1
"48","ap_kluster",12,12,250.179999999993,12,0,0,1440000,1000,0.2,"LbcfP",100,1
"49","BIC_kluster",12,12,31.7170000000133,12,0,0,1440000,100,0.3,"KYD5R",100,1
"50","pam_kluster",12,12,5.26400000000831,12,0,0,1440000,100,0.3,"KYD5R",100,1
"51","cal_kluster",14,15,94.9750000000004,12,2,3,1440000,100,0.3,"KYD5R",100,1
"52","ap_kluster",10,10,3.15500000000247,12,-2,-2,1440000,100,0.3,"KYD5R",100,1
"53","BIC_kluster",13,12,67.4120000000003,12,1,0,1440000,200,0.3,"KYD5R",100,1
"54","pam_kluster",12,12,22.3099999999904,12,0,0,1440000,200,0.3,"KYD5R",100,1
"55","cal_kluster",13,12,132.075000000006,12,1,0,1440000,200,0.3,"KYD5R",100,1
"56","ap_kluster",12,12,8.57200000000194,12,0,0,1440000,200,0.3,"KYD5R",100,1
"57","BIC_kluster",12,12,106.821000000013,12,0,0,1440000,300,0.3,"KYD5R",100,1
"58","pam_kluster",12,12,56.262999999999,12,0,0,1440000,300,0.3,"KYD5R",100,1
"59","cal_kluster",13,12,177.365000000002,12,1,0,1440000,300,0.3,"KYD5R",100,1
"60","ap_kluster",12,12,18.7490000000071,12,0,0,1440000,300,0.3,"KYD5R",100,1
"61","BIC_kluster",12,12,152.028999999988,12,0,0,1440000,400,0.3,"KYD5R",100,1
"62","pam_kluster",12,12,105.475000000013,12,0,0,1440000,400,0.3,"KYD5R",100,1
"63","cal_kluster",12,12,217.167999999998,12,0,0,1440000,400,0.3,"KYD5R",100,1
"64","ap_kluster",12,12,31.6609999999946,12,0,0,1440000,400,0.3,"KYD5R",100,1
"65","BIC_kluster",12,12,207.749000000003,12,0,0,1440000,500,0.3,"KYD5R",100,1
"66","pam_kluster",12,12,174.235999999981,12,0,0,1440000,500,0.3,"KYD5R",100,1
"67","cal_kluster",12,12,261.989000000009,12,0,0,1440000,500,0.3,"KYD5R",100,1
"68","ap_kluster",12,12,48.1549999999916,12,0,0,1440000,500,0.3,"KYD5R",100,1
"69","BIC_kluster",12,12,492.25500000001,12,0,0,1440000,1000,0.3,"KYD5R",100,1
"70","pam_kluster",12,12,812.920999999989,12,0,0,1440000,1000,0.3,"KYD5R",100,1
"71","cal_kluster",12,12,496.302,12,0,0,1440000,1000,0.3,"KYD5R",100,1
"72","ap_kluster",12,12,248.05600000001,12,0,0,1440000,1000,0.3,"KYD5R",100,1
"73","BIC_kluster",12,12,24.8960000000006,12,0,0,1440000,100,0.4,"ZoWU3",100,1
"74","pam_kluster",12,12,5.19099999999526,12,0,0,1440000,100,0.4,"ZoWU3",100,1
