"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",6,11,42.6209999999628,11,-5,0,1210000,100,0.1,"dJ5rz",100,1
"2","pam_kluster",9,11,5.48799999994662,11,-2,0,1210000,100,0.1,"dJ5rz",100,1
"3","cal_kluster",14,15,109.538000000022,11,3,4,1210000,100,0.1,"dJ5rz",100,1
"4","ap_kluster",9,9,3.26000000000931,11,-2,-2,1210000,100,0.1,"dJ5rz",100,1
"5","BIC_kluster",11,11,97.5440000000235,11,0,0,1210000,200,0.1,"dJ5rz",100,1
"6","pam_kluster",10,11,23.9149999999863,11,-1,0,1210000,200,0.1,"dJ5rz",100,1
"7","cal_kluster",12,11,162.518999999993,11,1,0,1210000,200,0.1,"dJ5rz",100,1
"8","ap_kluster",11,11,8.75500000004104,11,0,0,1210000,200,0.1,"dJ5rz",100,1
"9","BIC_kluster",11,11,153.650999999991,11,0,0,1210000,300,0.1,"dJ5rz",100,1
"10","pam_kluster",10,11,61.2120000000505,11,-1,0,1210000,300,0.1,"dJ5rz",100,1
"11","cal_kluster",11,11,221.336999999992,11,0,0,1210000,300,0.1,"dJ5rz",100,1
"12","ap_kluster",11,11,18.8550000000178,11,0,0,1210000,300,0.1,"dJ5rz",100,1
"13","BIC_kluster",11,11,212.746999999988,11,0,0,1210000,400,0.1,"dJ5rz",100,1
"14","pam_kluster",10,11,120.350999999995,11,-1,0,1210000,400,0.1,"dJ5rz",100,1
"15","cal_kluster",11,11,283.495999999963,11,0,0,1210000,400,0.1,"dJ5rz",100,1
"16","ap_kluster",11,11,31.4240000000209,11,0,0,1210000,400,0.1,"dJ5rz",100,1
"17","BIC_kluster",11,11,277.314000000057,11,0,0,1210000,500,0.1,"dJ5rz",100,1
"18","pam_kluster",11,11,202.589000000007,11,0,0,1210000,500,0.1,"dJ5rz",100,1
"19","cal_kluster",11,11,345.948999999971,11,0,0,1210000,500,0.1,"dJ5rz",100,1
"20","ap_kluster",11,11,52.7999999999811,11,0,0,1210000,500,0.1,"dJ5rz",100,1
"21","BIC_kluster",11,11,556.529000000002,11,0,0,1210000,1000,0.1,"dJ5rz",100,1
"22","pam_kluster",11,11,1034.83,11,0,0,1210000,1000,0.1,"dJ5rz",100,1
"23","cal_kluster",11,11,710.376000000004,11,0,0,1210000,1000,0.1,"dJ5rz",100,1
"24","ap_kluster",15,15,316.769000000051,11,4,4,1210000,1000,0.1,"dJ5rz",100,1
"25","BIC_kluster",11,11,33.2100000000428,11,0,0,1210000,100,0.2,"Lj1Ik",100,1
"26","pam_kluster",11,11,5.30499999996391,11,0,0,1210000,100,0.2,"Lj1Ik",100,1
"27","cal_kluster",13,15,104.898000000001,11,2,4,1210000,100,0.2,"Lj1Ik",100,1
"28","ap_kluster",10,10,3.07299999996758,11,-1,-1,1210000,100,0.2,"Lj1Ik",100,1
"29","BIC_kluster",11,11,74.8750000000146,11,0,0,1210000,200,0.2,"Lj1Ik",100,1
"30","pam_kluster",11,11,22.4240000000063,11,0,0,1210000,200,0.2,"Lj1Ik",100,1
"31","cal_kluster",11,11,153.67200000005,11,0,0,1210000,200,0.2,"Lj1Ik",100,1
"32","ap_kluster",11,11,8.68099999996048,11,0,0,1210000,200,0.2,"Lj1Ik",100,1
"33","BIC_kluster",11,11,125.533000000047,11,0,0,1210000,300,0.2,"Lj1Ik",100,1
"34","pam_kluster",11,11,56.9269999999524,11,0,0,1210000,300,0.2,"Lj1Ik",100,1
"35","cal_kluster",11,11,205.266000000025,11,0,0,1210000,300,0.2,"Lj1Ik",100,1
"36","ap_kluster",11,11,18.4859999999899,11,0,0,1210000,300,0.2,"Lj1Ik",100,1
"37","BIC_kluster",11,11,176.841000000015,11,0,0,1210000,400,0.2,"Lj1Ik",100,1
"38","pam_kluster",11,11,108.527000000031,11,0,0,1210000,400,0.2,"Lj1Ik",100,1
"39","cal_kluster",11,11,258.949999999968,11,0,0,1210000,400,0.2,"Lj1Ik",100,1
"40","ap_kluster",11,11,31.6240000000616,11,0,0,1210000,400,0.2,"Lj1Ik",100,1
"41","BIC_kluster",11,11,229.627999999982,11,0,0,1210000,500,0.2,"Lj1Ik",100,1
"42","pam_kluster",11,11,187.403999999966,11,0,0,1210000,500,0.2,"Lj1Ik",100,1
"43","cal_kluster",11,11,312.849999999984,11,0,0,1210000,500,0.2,"Lj1Ik",100,1
"44","ap_kluster",11,11,50.9699999999939,11,0,0,1210000,500,0.2,"Lj1Ik",100,1
"45","BIC_kluster",11,11,486.625999999997,11,0,0,1210000,1000,0.2,"Lj1Ik",100,1
"46","pam_kluster",11,11,906.041999999979,11,0,0,1210000,1000,0.2,"Lj1Ik",100,1
"47","cal_kluster",11,11,613.635999999984,11,0,0,1210000,1000,0.2,"Lj1Ik",100,1
"48","ap_kluster",11,11,267.286999999975,11,0,0,1210000,1000,0.2,"Lj1Ik",100,1
"49","BIC_kluster",11,11,27.3230000001058,11,0,0,1210000,100,0.3,"7bAMF",100,1
"50","pam_kluster",11,11,5.12499999995634,11,0,0,1210000,100,0.3,"7bAMF",100,1
"51","cal_kluster",13,11,99.7420000000566,11,2,0,1210000,100,0.3,"7bAMF",100,1
"52","ap_kluster",10,10,2.87899999995716,11,-1,-1,1210000,100,0.3,"7bAMF",100,1
"53","BIC_kluster",11,11,55.762000000148,11,0,0,1210000,200,0.3,"7bAMF",100,1
"54","pam_kluster",11,11,21.8989999999467,11,0,0,1210000,200,0.3,"7bAMF",100,1
"55","cal_kluster",11,11,146.204000000027,11,0,0,1210000,200,0.3,"7bAMF",100,1
"56","ap_kluster",11,11,8.5530000000872,11,0,0,1210000,200,0.3,"7bAMF",100,1
"57","BIC_kluster",11,11,94.4660000000586,11,0,0,1210000,300,0.3,"7bAMF",100,1
"58","pam_kluster",11,11,54.6450000000041,11,0,0,1210000,300,0.3,"7bAMF",100,1
"59","cal_kluster",11,11,194.009999999937,11,0,0,1210000,300,0.3,"7bAMF",100,1
"60","ap_kluster",11,11,18.3930000001128,11,0,0,1210000,300,0.3,"7bAMF",100,1
"61","BIC_kluster",11,11,147.462000000014,11,0,0,1210000,400,0.3,"7bAMF",100,1
"62","pam_kluster",11,11,105.973999999944,11,0,0,1210000,400,0.3,"7bAMF",100,1
"63","cal_kluster",11,11,243.067999999956,11,0,0,1210000,400,0.3,"7bAMF",100,1
"64","ap_kluster",11,11,30.4360000000888,11,0,0,1210000,400,0.3,"7bAMF",100,1
