"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",6,6,37.2599999999999,6,0,0,360000,100,0.1,"YUiqE",100,1
"2","pam_kluster",5,6,5.36200000000003,6,-1,0,360000,100,0.1,"YUiqE",100,1
"3","cal_kluster",11,15,87.342,6,5,9,360000,100,0.1,"YUiqE",100,1
"4","ap_kluster",6,6,2.03900000000003,6,0,0,360000,100,0.1,"YUiqE",100,1
"5","BIC_kluster",6,6,133.411,6,0,0,360000,200,0.1,"YUiqE",100,1
"6","pam_kluster",6,6,27.7950000000002,6,0,0,360000,200,0.1,"YUiqE",100,1
"7","cal_kluster",7,6,151.129,6,1,0,360000,200,0.1,"YUiqE",100,1
"8","ap_kluster",8,8,8.50300000000016,6,2,2,360000,200,0.1,"YUiqE",100,1
"9","BIC_kluster",6,6,238.083,6,0,0,360000,300,0.1,"YUiqE",100,1
"10","pam_kluster",6,6,72.731,6,0,0,360000,300,0.1,"YUiqE",100,1
"11","cal_kluster",6,6,215.439999999999,6,0,0,360000,300,0.1,"YUiqE",100,1
"12","ap_kluster",10,10,25.7340000000008,6,4,4,360000,300,0.1,"YUiqE",100,1
"13","BIC_kluster",6,6,318.287,6,0,0,360000,400,0.1,"YUiqE",100,1
"14","pam_kluster",6,6,139.185000000001,6,0,0,360000,400,0.1,"YUiqE",100,1
"15","cal_kluster",6,6,270.259000000001,6,0,0,360000,400,0.1,"YUiqE",100,1
"16","ap_kluster",12,12,39.6229999999986,6,6,6,360000,400,0.1,"YUiqE",100,1
"17","BIC_kluster",6,6,402.719999999997,6,0,0,360000,500,0.1,"YUiqE",100,1
"18","pam_kluster",6,6,240.428000000002,6,0,0,360000,500,0.1,"YUiqE",100,1
"19","cal_kluster",6,6,327.897000000001,6,0,0,360000,500,0.1,"YUiqE",100,1
"20","ap_kluster",13,13,96.7259999999981,6,7,7,360000,500,0.1,"YUiqE",100,1
"21","BIC_kluster",6,6,835.668999999995,6,0,0,360000,1000,0.1,"YUiqE",100,1
"22","pam_kluster",6,6,1196.294,6,0,0,360000,1000,0.1,"YUiqE",100,1
"23","cal_kluster",6,6,688.492000000002,6,0,0,360000,1000,0.1,"YUiqE",100,1
"24","ap_kluster",19,19,296.633999999997,6,13,13,360000,1000,0.1,"YUiqE",100,1
"25","BIC_kluster",7,6,30.4610000000021,6,1,0,360000,100,0.2,"4CQO0",100,1
"26","pam_kluster",5,6,5.23899999999867,6,-1,0,360000,100,0.2,"4CQO0",100,1
"27","cal_kluster",11,15,85.3720000000003,6,5,9,360000,100,0.2,"4CQO0",100,1
"28","ap_kluster",7,6,2.16299999999956,6,1,0,360000,100,0.2,"4CQO0",100,1
"29","BIC_kluster",6,6,96.2179999999935,6,0,0,360000,200,0.2,"4CQO0",100,1
"30","pam_kluster",6,6,25.0600000000022,6,0,0,360000,200,0.2,"4CQO0",100,1
"31","cal_kluster",8,7,132.821999999998,6,2,1,360000,200,0.2,"4CQO0",100,1
"32","ap_kluster",7,7,7.64600000000428,6,1,1,360000,200,0.2,"4CQO0",100,1
"33","BIC_kluster",6,6,180.255999999998,6,0,0,360000,300,0.2,"4CQO0",100,1
