"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",3,3,66.324,3,0,0,90000,100,0.1,"j9yiw",100,1
"2","pam_kluster",1,1,5.64800000000006,3,-2,-2,90000,100,0.1,"j9yiw",100,1
"3","cal_kluster",3,3,91.969,3,0,0,90000,100,0.1,"j9yiw",100,1
"4","ap_kluster",6,6,2.14099999999988,3,3,3,90000,100,0.1,"j9yiw",100,1
"5","BIC_kluster",3,3,209.31,3,0,0,90000,200,0.1,"j9yiw",100,1
"6","pam_kluster",1,1,29.7220000000001,3,-2,-2,90000,200,0.1,"j9yiw",100,1
"7","cal_kluster",3,3,151.464,3,0,0,90000,200,0.1,"j9yiw",100,1
"8","ap_kluster",9,9,7.4740000000001,3,6,6,90000,200,0.1,"j9yiw",100,1
"9","BIC_kluster",3,3,353.087,3,0,0,90000,300,0.1,"j9yiw",100,1
"10","pam_kluster",1,1,79.5049999999995,3,-2,-2,90000,300,0.1,"j9yiw",100,1
"11","cal_kluster",3,3,219.138,3,0,0,90000,300,0.1,"j9yiw",100,1
"12","ap_kluster",11,12,24.6740000000012,3,8,9,90000,300,0.1,"j9yiw",100,1
"13","BIC_kluster",3,3,483.755999999999,3,0,0,90000,400,0.1,"j9yiw",100,1
"14","pam_kluster",1,1,164.251999999999,3,-2,-2,90000,400,0.1,"j9yiw",100,1
"15","cal_kluster",3,3,300.426,3,0,0,90000,400,0.1,"j9yiw",100,1
"16","ap_kluster",13,13,45.9759999999981,3,10,10,90000,400,0.1,"j9yiw",100,1
"17","BIC_kluster",3,3,589.635,3,0,0,90000,500,0.1,"j9yiw",100,1
"18","pam_kluster",1,1,287.627999999997,3,-2,-2,90000,500,0.1,"j9yiw",100,1
"19","cal_kluster",3,3,387.869000000002,3,0,0,90000,500,0.1,"j9yiw",100,1
"20","ap_kluster",15,15,101.071000000002,3,12,12,90000,500,0.1,"j9yiw",100,1
"21","BIC_kluster",3,3,1036.354,3,0,0,90000,1000,0.1,"j9yiw",100,1
"22","pam_kluster",3,3,1507.757,3,0,0,90000,1000,0.1,"j9yiw",100,1
"23","cal_kluster",3,3,887.965999999999,3,0,0,90000,1000,0.1,"j9yiw",100,1
"24","ap_kluster",22,23,492.546999999998,3,19,20,90000,1000,0.1,"j9yiw",100,1
"25","BIC_kluster",3,3,57.2069999999985,3,0,0,90000,100,0.2,"zmzkY",100,1
