"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",6,8,45.6929999999993,8,-2,0,640000,100,0.1,"6bSA4",100,1
"2","pam_kluster",7,8,5.25500000001193,8,-1,0,640000,100,0.1,"6bSA4",100,1
"3","cal_kluster",11,8,88.7969999999841,8,3,0,640000,100,0.1,"6bSA4",100,1
"4","ap_kluster",8,8,2.06399999998393,8,0,0,640000,100,0.1,"6bSA4",100,1
"5","BIC_kluster",8,8,124.245999999912,8,0,0,640000,200,0.1,"6bSA4",100,1
"6","pam_kluster",8,8,24.222999999969,8,0,0,640000,200,0.1,"6bSA4",100,1
"7","cal_kluster",8,8,138.224000000111,8,0,0,640000,200,0.1,"6bSA4",100,1
"8","ap_kluster",8,8,7.80500000002212,8,0,0,640000,200,0.1,"6bSA4",100,1
"9","BIC_kluster",8,8,200.09799999994,8,0,0,640000,300,0.1,"6bSA4",100,1
"10","pam_kluster",8,8,63.9279999999417,8,0,0,640000,300,0.1,"6bSA4",100,1
"11","cal_kluster",8,8,191.278000000078,8,0,0,640000,300,0.1,"6bSA4",100,1
"12","ap_kluster",9,9,18.1489999999903,8,1,1,640000,300,0.1,"6bSA4",100,1
"13","BIC_kluster",8,8,284.103999999905,8,0,0,640000,400,0.1,"6bSA4",100,1
"14","pam_kluster",8,8,128.179000000076,8,0,0,640000,400,0.1,"6bSA4",100,1
"15","cal_kluster",8,8,247.098999999958,8,0,0,640000,400,0.1,"6bSA4",100,1
"16","ap_kluster",11,10,32.7659999999887,8,3,2,640000,400,0.1,"6bSA4",100,1
"17","BIC_kluster",8,8,358.137999999977,8,0,0,640000,500,0.1,"6bSA4",100,1
"18","pam_kluster",8,8,225.301000000021,8,0,0,640000,500,0.1,"6bSA4",100,1
"19","cal_kluster",8,8,307.480999999956,8,0,0,640000,500,0.1,"6bSA4",100,1
"20","ap_kluster",12,12,53.4050000000425,8,4,4,640000,500,0.1,"6bSA4",100,1
"21","BIC_kluster",8,8,734.966999999975,8,0,0,640000,1000,0.1,"6bSA4",100,1
"22","pam_kluster",8,8,1170.89500000005,8,0,0,640000,1000,0.1,"6bSA4",100,1
"23","cal_kluster",8,8,620.979999999981,8,0,0,640000,1000,0.1,"6bSA4",100,1
"24","ap_kluster",20,19,266.993999999962,8,12,11,640000,1000,0.1,"6bSA4",100,1
"25","BIC_kluster",8,8,31.1460000000225,8,0,0,640000,100,0.2,"tLyGR",100,1
"26","pam_kluster",8,8,5.05600000006962,8,0,0,640000,100,0.2,"tLyGR",100,1
"27","cal_kluster",10,8,88.487999999983,8,2,0,640000,100,0.2,"tLyGR",100,1
"28","ap_kluster",8,8,1.83899999993446,8,0,0,640000,100,0.2,"tLyGR",100,1
"29","BIC_kluster",8,8,92.6959999998944,8,0,0,640000,200,0.2,"tLyGR",100,1
"30","pam_kluster",8,8,23.0870000000723,8,0,0,640000,200,0.2,"tLyGR",100,1
"31","cal_kluster",8,8,137.872000000047,8,0,0,640000,200,0.2,"tLyGR",100,1
"32","ap_kluster",8,8,7.34899999991467,8,0,0,640000,200,0.2,"tLyGR",100,1
"33","BIC_kluster",8,8,171.227000000159,8,0,0,640000,300,0.2,"tLyGR",100,1
"34","pam_kluster",8,8,60.2549999999901,8,0,0,640000,300,0.2,"tLyGR",100,1
"35","cal_kluster",8,8,187.390999999931,8,0,0,640000,300,0.2,"tLyGR",100,1
"36","ap_kluster",8,8,16.6250000000146,8,0,0,640000,300,0.2,"tLyGR",100,1
"37","BIC_kluster",8,8,240.216,8,0,0,640000,400,0.2,"tLyGR",100,1
"38","pam_kluster",8,8,119.173000000024,8,0,0,640000,400,0.2,"tLyGR",100,1
"39","cal_kluster",8,8,239.839999999967,8,0,0,640000,400,0.2,"tLyGR",100,1
"40","ap_kluster",9,8,28.7450000000244,8,1,0,640000,400,0.2,"tLyGR",100,1
"41","BIC_kluster",8,8,310.811000000045,8,0,0,640000,500,0.2,"tLyGR",100,1
"42","pam_kluster",8,8,207.654999999941,8,0,0,640000,500,0.2,"tLyGR",100,1
"43","cal_kluster",8,8,293.303000000102,8,0,0,640000,500,0.2,"tLyGR",100,1
"44","ap_kluster",9,9,50.8620000000083,8,1,1,640000,500,0.2,"tLyGR",100,1
"45","BIC_kluster",8,8,633.59500000003,8,0,0,640000,1000,0.2,"tLyGR",100,1
"46","pam_kluster",8,8,1121.35000000003,8,0,0,640000,1000,0.2,"tLyGR",100,1
"47","cal_kluster",8,8,577.371999999974,8,0,0,640000,1000,0.2,"tLyGR",100,1
"48","ap_kluster",15,16,254.11699999994,8,7,8,640000,1000,0.2,"tLyGR",100,1
"49","BIC_kluster",8,8,23.8559999999998,8,0,0,640000,100,0.3,"6YgeA",100,1
"50","pam_kluster",8,8,5.07799999993586,8,0,0,640000,100,0.3,"6YgeA",100,1
"51","cal_kluster",11,8,79.992999999944,8,3,0,640000,100,0.3,"6YgeA",100,1
"52","ap_kluster",8,8,2.26800000004005,8,0,0,640000,100,0.3,"6YgeA",100,1
"53","BIC_kluster",8,8,59.9730000000272,8,0,0,640000,200,0.3,"6YgeA",100,1
"54","pam_kluster",8,8,22.3510000000388,8,0,0,640000,200,0.3,"6YgeA",100,1
"55","cal_kluster",8,8,117.890000000029,8,0,0,640000,200,0.3,"6YgeA",100,1
"56","ap_kluster",8,8,7.50099999996019,8,0,0,640000,200,0.3,"6YgeA",100,1
"57","BIC_kluster",8,8,126.930000000022,8,0,0,640000,300,0.3,"6YgeA",100,1
"58","pam_kluster",8,8,58.4990000000253,8,0,0,640000,300,0.3,"6YgeA",100,1
"59","cal_kluster",8,8,157.718000000023,8,0,0,640000,300,0.3,"6YgeA",100,1
"60","ap_kluster",8,8,16.7729999998992,8,0,0,640000,300,0.3,"6YgeA",100,1
"61","BIC_kluster",8,8,201.525000000096,8,0,0,640000,400,0.3,"6YgeA",100,1
"62","pam_kluster",8,8,114.108999999924,8,0,0,640000,400,0.3,"6YgeA",100,1
"63","cal_kluster",8,8,197.421000000031,8,0,0,640000,400,0.3,"6YgeA",100,1
"64","ap_kluster",8,8,28.0779999999941,8,0,0,640000,400,0.3,"6YgeA",100,1
"65","BIC_kluster",8,8,267.071000000069,8,0,0,640000,500,0.3,"6YgeA",100,1
"66","pam_kluster",8,8,199.509999999893,8,0,0,640000,500,0.3,"6YgeA",100,1
"67","cal_kluster",8,8,237.212000000101,8,0,0,640000,500,0.3,"6YgeA",100,1
"68","ap_kluster",8,8,50.1099999999133,8,0,0,640000,500,0.3,"6YgeA",100,1
"69","BIC_kluster",8,8,562.854000000021,8,0,0,640000,1000,0.3,"6YgeA",100,1
"70","pam_kluster",8,8,983.169999999969,8,0,0,640000,1000,0.3,"6YgeA",100,1
"71","cal_kluster",8,8,448.572999999989,8,0,0,640000,1000,0.3,"6YgeA",100,1
