"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",12,22.1579999999994,12,0,2400,0.1,"BeT272x",100,100,25
"2","pamk.best",2,38.0619999999981,12,-10,2400,0.1,"BeT272x",100,100,25
"3","calinski.best",13,9.52400000000125,12,1,2400,0.1,"BeT272x",100,100,25
"4","apclus.best",27,20.3610000000008,12,15,2400,0.1,"BeT272x",100,100,25
"5","BIC_kluster_mean",4,53.9266,12,-8,2400,0.1,"BeT272x",100,100,25
"6","cal_kluster_mean",15,89.63656,12,3,2400,0.1,"BeT272x",100,100,25
"7","pam_kluster_mean",11,6.26619999999995,12,-1,2400,0.1,"BeT272x",100,100,25
"8","ap_kluster_mean",9,2.42088000000003,12,-3,2400,0.1,"BeT272x",100,100,25
"9","BIC_kluster_frq",2,53.9266,12,-10,2400,0.1,"BeT272x",100,100,25
"10","cal_kluster_frq",15,89.63656,12,3,2400,0.1,"BeT272x",100,100,25
"11","pam_kluster_frq",12,6.26619999999995,12,0,2400,0.1,"BeT272x",100,100,25
"12","ap_kluster_frq",9,2.42088000000003,12,-3,2400,0.1,"BeT272x",100,100,25
"13","BIC.best",12,15.7919999999976,12,0,2400,0.2,"Q2FOAiB",100,100,25
"14","pamk.best",2,47.3120000000017,12,-10,2400,0.2,"Q2FOAiB",100,100,25
"15","calinski.best",13,8.88200000000143,12,1,2400,0.2,"Q2FOAiB",100,100,25
"16","apclus.best",22,25.8389999999999,12,10,2400,0.2,"Q2FOAiB",100,100,25
"17","BIC_kluster_mean",7,46.2966799999999,12,-5,2400,0.2,"Q2FOAiB",100,100,25
"18","cal_kluster_mean",15,91.84768,12,3,2400,0.2,"Q2FOAiB",100,100,25
"19","pam_kluster_mean",13,6.02884000000005,12,1,2400,0.2,"Q2FOAiB",100,100,25
"20","ap_kluster_mean",10,2.40572000000029,12,-2,2400,0.2,"Q2FOAiB",100,100,25
"21","BIC_kluster_frq",3,46.2966799999999,12,-9,2400,0.2,"Q2FOAiB",100,100,25
"22","cal_kluster_frq",15,91.84768,12,3,2400,0.2,"Q2FOAiB",100,100,25
"23","pam_kluster_frq",12,6.02884000000005,12,0,2400,0.2,"Q2FOAiB",100,100,25
"24","ap_kluster_frq",10,2.40572000000029,12,-2,2400,0.2,"Q2FOAiB",100,100,25
"25","BIC.best",12,18.1699999999983,12,0,2400,0.3,"9otBgCn",100,100,25
"26","pamk.best",10,20.7410000000018,12,-2,2400,0.3,"9otBgCn",100,100,25
"27","calinski.best",13,7.18599999999788,12,1,2400,0.3,"9otBgCn",100,100,25
"28","apclus.best",14,25.9099999999999,12,2,2400,0.3,"9otBgCn",100,100,25
