"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",4,7.85299999999916,4,0,800,0.1,"QBoRZAf",100,100,25
"2","pamk.best",4,3.11700000000201,4,0,800,0.1,"QBoRZAf",100,100,25
"3","calinski.best",4,3.04399999999805,4,0,800,0.1,"QBoRZAf",100,100,25
"4","apclus.best",17,1.625,4,13,800,0.1,"QBoRZAf",100,100,25
"5","BIC_kluster_mean",4,48.31564,4,0,800,0.1,"QBoRZAf",100,100,25
"6","cal_kluster_mean",5,88.9328,4,1,800,0.1,"QBoRZAf",100,100,25
"7","pam_kluster_mean",3,5.20531999999992,4,-1,800,0.1,"QBoRZAf",100,100,25
"8","ap_kluster_mean",5,2.12484000000011,4,1,800,0.1,"QBoRZAf",100,100,25
"9","BIC_kluster_frq",4,48.31564,4,0,800,0.1,"QBoRZAf",100,100,25
"10","cal_kluster_frq",4,88.9328,4,0,800,0.1,"QBoRZAf",100,100,25
"11","pam_kluster_frq",4,5.20531999999992,4,0,800,0.1,"QBoRZAf",100,100,25
"12","ap_kluster_frq",5,2.12484000000011,4,1,800,0.1,"QBoRZAf",100,100,25
"13","BIC.best",4,7.01699999999983,4,0,800,0.2,"rdvyf7x",100,100,25
"14","pamk.best",4,3.30299999999988,4,0,800,0.2,"rdvyf7x",100,100,25
"15","calinski.best",4,2.61399999999776,4,0,800,0.2,"rdvyf7x",100,100,25
"16","apclus.best",12,2.86800000000221,4,8,800,0.2,"rdvyf7x",100,100,25
"17","BIC_kluster_mean",4,40.2366399999999,4,0,800,0.2,"rdvyf7x",100,100,25
"18","cal_kluster_mean",5,85.9704800000001,4,1,800,0.2,"rdvyf7x",100,100,25
"19","pam_kluster_mean",4,5.07259999999995,4,0,800,0.2,"rdvyf7x",100,100,25
"20","ap_kluster_mean",4,1.92695999999996,4,0,800,0.2,"rdvyf7x",100,100,25
"21","BIC_kluster_frq",4,40.2366399999999,4,0,800,0.2,"rdvyf7x",100,100,25
"22","cal_kluster_frq",4,85.9704800000001,4,0,800,0.2,"rdvyf7x",100,100,25
"23","pam_kluster_frq",4,5.07259999999995,4,0,800,0.2,"rdvyf7x",100,100,25
"24","ap_kluster_frq",4,1.92695999999996,4,0,800,0.2,"rdvyf7x",100,100,25
"25","BIC.best",4,7.01800000000003,4,0,800,0.3,"CYeANWT",100,100,25
"26","pamk.best",4,3.33400000000256,4,0,800,0.3,"CYeANWT",100,100,25
"27","calinski.best",4,2.20499999999811,4,0,800,0.3,"CYeANWT",100,100,25
"28","apclus.best",12,1.22100000000137,4,8,800,0.3,"CYeANWT",100,100,25
"29","BIC_kluster_mean",4,36.0923999999999,4,0,800,0.3,"CYeANWT",100,100,25
"30","cal_kluster_mean",4,79.3401599999997,4,0,800,0.3,"CYeANWT",100,100,25
"31","pam_kluster_mean",4,5.16244000000006,4,0,800,0.3,"CYeANWT",100,100,25
"32","ap_kluster_mean",4,1.89456000000006,4,0,800,0.3,"CYeANWT",100,100,25
"33","BIC_kluster_frq",4,36.0923999999999,4,0,800,0.3,"CYeANWT",100,100,25
"34","cal_kluster_frq",4,79.3401599999997,4,0,800,0.3,"CYeANWT",100,100,25
"35","pam_kluster_frq",4,5.16244000000006,4,0,800,0.3,"CYeANWT",100,100,25
"36","ap_kluster_frq",4,1.89456000000006,4,0,800,0.3,"CYeANWT",100,100,25
"37","BIC.best",4,5.96600000000035,4,0,800,0.4,"A7iEz0d",100,100,25
"38","pamk.best",4,1.99400000000605,4,0,800,0.4,"A7iEz0d",100,100,25
"39","calinski.best",4,2.0679999999993,4,0,800,0.4,"A7iEz0d",100,100,25
"40","apclus.best",9,2.55399999999645,4,5,800,0.4,"A7iEz0d",100,100,25
"41","BIC_kluster_mean",4,29.0150400000002,4,0,800,0.4,"A7iEz0d",100,100,25
"42","cal_kluster_mean",5,85.02848,4,1,800,0.4,"A7iEz0d",100,100,25
"43","pam_kluster_mean",4,5.12160000000003,4,0,800,0.4,"A7iEz0d",100,100,25
"44","ap_kluster_mean",4,2.05628000000026,4,0,800,0.4,"A7iEz0d",100,100,25
"45","BIC_kluster_frq",4,29.0150400000002,4,0,800,0.4,"A7iEz0d",100,100,25
"46","cal_kluster_frq",4,85.02848,4,0,800,0.4,"A7iEz0d",100,100,25
"47","pam_kluster_frq",4,5.12160000000003,4,0,800,0.4,"A7iEz0d",100,100,25
"48","ap_kluster_frq",4,2.05628000000026,4,0,800,0.4,"A7iEz0d",100,100,25
"49","BIC.best",4,5.35700000000361,4,0,800,0.5,"jIACjIm",100,100,25
"50","pamk.best",4,2.0989999999947,4,0,800,0.5,"jIACjIm",100,100,25
"51","calinski.best",4,2.11200000000099,4,0,800,0.5,"jIACjIm",100,100,25
"52","apclus.best",5,3.09300000000076,4,1,800,0.5,"jIACjIm",100,100,25
"53","BIC_kluster_mean",4,31.5169200000001,4,0,800,0.5,"jIACjIm",100,100,25
"54","cal_kluster_mean",4,86.0213199999998,4,0,800,0.5,"jIACjIm",100,100,25
"55","pam_kluster_mean",4,5.07171999999991,4,0,800,0.5,"jIACjIm",100,100,25
"56","ap_kluster_mean",4,2.06779999999999,4,0,800,0.5,"jIACjIm",100,100,25
"57","BIC_kluster_frq",4,31.5169200000001,4,0,800,0.5,"jIACjIm",100,100,25
"58","cal_kluster_frq",4,86.0213199999998,4,0,800,0.5,"jIACjIm",100,100,25
"59","pam_kluster_frq",4,5.07171999999991,4,0,800,0.5,"jIACjIm",100,100,25
"60","ap_kluster_frq",4,2.06779999999999,4,0,800,0.5,"jIACjIm",100,100,25
"61","BIC.best",4,6.61899999999878,4,0,800,0.6,"aB7ngoC",100,100,25
"62","pamk.best",4,3.07299999999668,4,0,800,0.6,"aB7ngoC",100,100,25
"63","calinski.best",4,2.10000000000582,4,0,800,0.6,"aB7ngoC",100,100,25
"64","apclus.best",4,2.0089999999982,4,0,800,0.6,"aB7ngoC",100,100,25
"65","BIC_kluster_mean",4,28.6450399999996,4,0,800,0.6,"aB7ngoC",100,100,25
"66","cal_kluster_mean",4,84.8315999999997,4,0,800,0.6,"aB7ngoC",100,100,25
"67","pam_kluster_mean",4,5.14423999999999,4,0,800,0.6,"aB7ngoC",100,100,25
"68","ap_kluster_mean",4,2.06680000000022,4,0,800,0.6,"aB7ngoC",100,100,25
"69","BIC_kluster_frq",4,28.6450399999996,4,0,800,0.6,"aB7ngoC",100,100,25
"70","cal_kluster_frq",4,84.8315999999997,4,0,800,0.6,"aB7ngoC",100,100,25
"71","pam_kluster_frq",4,5.14423999999999,4,0,800,0.6,"aB7ngoC",100,100,25
"72","ap_kluster_frq",4,2.06680000000022,4,0,800,0.6,"aB7ngoC",100,100,25
"73","BIC.best",4,5.75400000000081,4,0,800,0.7,"erSx8Lg",100,100,25
"74","pamk.best",4,2.10900000000402,4,0,800,0.7,"erSx8Lg",100,100,25
"75","calinski.best",5,2.10800000000017,4,1,800,0.7,"erSx8Lg",100,100,25
"76","apclus.best",5,3.60100000000239,4,1,800,0.7,"erSx8Lg",100,100,25
"77","BIC_kluster_mean",5,24.4763200000001,4,1,800,0.7,"erSx8Lg",100,100,25
"78","cal_kluster_mean",6,86.2472399999999,4,2,800,0.7,"erSx8Lg",100,100,25
"79","pam_kluster_mean",4,5.20023999999888,4,0,800,0.7,"erSx8Lg",100,100,25
"80","ap_kluster_mean",4,2.06876000000047,4,0,800,0.7,"erSx8Lg",100,100,25
"81","BIC_kluster_frq",5,24.4763200000001,4,1,800,0.7,"erSx8Lg",100,100,25
"82","cal_kluster_frq",5,86.2472399999999,4,1,800,0.7,"erSx8Lg",100,100,25
"83","pam_kluster_frq",4,5.20023999999888,4,0,800,0.7,"erSx8Lg",100,100,25
"84","ap_kluster_frq",4,2.06876000000047,4,0,800,0.7,"erSx8Lg",100,100,25
