"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",7,13.534,7,0,1400,0.1,"GscChrS",100,100,25
"2","pamk.best",7,13.258,7,0,1400,0.1,"GscChrS",100,100,25
"3","calinski.best",7,6.51,7,0,1400,0.1,"GscChrS",100,100,25
"4","apclus.best",21,6.76900000000001,7,14,1400,0.1,"GscChrS",100,100,25
"5","BIC_kluster_mean",7,54.73592,7,0,1400,0.1,"GscChrS",100,100,25
"6","cal_kluster_mean",10,98.46628,7,3,1400,0.1,"GscChrS",100,100,25
"7","pam_kluster_mean",7,6.51336,7,0,1400,0.1,"GscChrS",100,100,25
"8","ap_kluster_mean",7,2.23503999999999,7,0,1400,0.1,"GscChrS",100,100,25
"9","BIC_kluster_frq",7,54.73592,7,0,1400,0.1,"GscChrS",100,100,25
"10","cal_kluster_frq",7,98.46628,7,0,1400,0.1,"GscChrS",100,100,25
"11","pam_kluster_frq",7,6.51336,7,0,1400,0.1,"GscChrS",100,100,25
"12","ap_kluster_frq",7,2.23503999999999,7,0,1400,0.1,"GscChrS",100,100,25
"13","BIC.best",7,8.89300000000003,7,0,1400,0.2,"nRoX5FF",100,100,25
"14","pamk.best",7,11.0469999999996,7,0,1400,0.2,"nRoX5FF",100,100,25
"15","calinski.best",7,4.94800000000032,7,0,1400,0.2,"nRoX5FF",100,100,25
"16","apclus.best",18,6.97199999999975,7,11,1400,0.2,"nRoX5FF",100,100,25
"17","BIC_kluster_mean",7,37.67356,7,0,1400,0.2,"nRoX5FF",100,100,25
"18","cal_kluster_mean",8,93.2396400000001,7,1,1400,0.2,"nRoX5FF",100,100,25
"19","pam_kluster_mean",7,6.15207999999999,7,0,1400,0.2,"nRoX5FF",100,100,25
"20","ap_kluster_mean",7,2.30791999999994,7,0,1400,0.2,"nRoX5FF",100,100,25
"21","BIC_kluster_frq",7,37.67356,7,0,1400,0.2,"nRoX5FF",100,100,25
"22","cal_kluster_frq",7,93.2396400000001,7,0,1400,0.2,"nRoX5FF",100,100,25
"23","pam_kluster_frq",7,6.15207999999999,7,0,1400,0.2,"nRoX5FF",100,100,25
"24","ap_kluster_frq",7,2.30791999999994,7,0,1400,0.2,"nRoX5FF",100,100,25
"25","BIC.best",7,8.65400000000045,7,0,1400,0.3,"SJrlmhP",100,100,25
"26","pamk.best",7,9.02799999999934,7,0,1400,0.3,"SJrlmhP",100,100,25
"27","calinski.best",7,4.10599999999977,7,0,1400,0.3,"SJrlmhP",100,100,25
"28","apclus.best",16,8.85800000000017,7,9,1400,0.3,"SJrlmhP",100,100,25
"29","BIC_kluster_mean",7,31.5132399999999,7,0,1400,0.3,"SJrlmhP",100,100,25
"30","cal_kluster_mean",10,86.7943200000001,7,3,1400,0.3,"SJrlmhP",100,100,25
"31","pam_kluster_mean",7,6.11820000000007,7,0,1400,0.3,"SJrlmhP",100,100,25
