"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",12,20.427,11,1,2200,0.1,"8zH1ivC",100,100,25
"2","pamk.best",10,30.457,11,-1,2200,0.1,"8zH1ivC",100,100,25
"3","calinski.best",11,9.429,11,0,2200,0.1,"8zH1ivC",100,100,25
"4","apclus.best",25,20.726,11,14,2200,0.1,"8zH1ivC",100,100,25
"5","BIC_kluster_mean",6,49.44148,11,-5,2200,0.1,"8zH1ivC",100,100,25
"6","cal_kluster_mean",14,99.18168,11,3,2200,0.1,"8zH1ivC",100,100,25
"7","pam_kluster_mean",11,6.21655999999999,11,0,2200,0.1,"8zH1ivC",100,100,25
"8","ap_kluster_mean",9,2.53456000000002,11,-2,2200,0.1,"8zH1ivC",100,100,25
"9","BIC_kluster_frq",11,49.44148,11,0,2200,0.1,"8zH1ivC",100,100,25
"10","cal_kluster_frq",15,99.18168,11,4,2200,0.1,"8zH1ivC",100,100,25
"11","pam_kluster_frq",11,6.21655999999999,11,0,2200,0.1,"8zH1ivC",100,100,25
"12","ap_kluster_frq",9,2.53456000000002,11,-2,2200,0.1,"8zH1ivC",100,100,25
"13","BIC.best",11,15.8429999999998,11,0,2200,0.2,"uPGgKcl",100,100,25
"14","pamk.best",10,26.511,11,-1,2200,0.2,"uPGgKcl",100,100,25
"15","calinski.best",11,7.39699999999993,11,0,2200,0.2,"uPGgKcl",100,100,25
"16","apclus.best",19,19.9139999999998,11,8,2200,0.2,"uPGgKcl",100,100,25
"17","BIC_kluster_mean",10,39.1060000000001,11,-1,2200,0.2,"uPGgKcl",100,100,25
"18","cal_kluster_mean",14,95.54456,11,3,2200,0.2,"uPGgKcl",100,100,25
"19","pam_kluster_mean",11,5.84396000000004,11,0,2200,0.2,"uPGgKcl",100,100,25
"20","ap_kluster_mean",10,2.56136000000006,11,-1,2200,0.2,"uPGgKcl",100,100,25
"21","BIC_kluster_frq",11,39.1060000000001,11,0,2200,0.2,"uPGgKcl",100,100,25
"22","cal_kluster_frq",15,95.54456,11,4,2200,0.2,"uPGgKcl",100,100,25
"23","pam_kluster_frq",11,5.84396000000004,11,0,2200,0.2,"uPGgKcl",100,100,25
"24","ap_kluster_frq",10,2.56136000000006,11,-1,2200,0.2,"uPGgKcl",100,100,25
"25","BIC.best",12,16.0789999999997,11,1,2200,0.3,"ZWezUIT",100,100,25
"26","pamk.best",10,15.8859999999995,11,-1,2200,0.3,"ZWezUIT",100,100,25
"27","calinski.best",11,6.05699999999979,11,0,2200,0.3,"ZWezUIT",100,100,25
"28","apclus.best",12,14.3050000000003,11,1,2200,0.3,"ZWezUIT",100,100,25
"29","BIC_kluster_mean",12,30.28968,11,1,2200,0.3,"ZWezUIT",100,100,25
"30","cal_kluster_mean",14,88.06144,11,3,2200,0.3,"ZWezUIT",100,100,25
