"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",8,18.4220000000023,8,0,1600,0.1,"M5DJPI8",100,100,25
"2","pamk.best",8,13.0010000000002,8,0,1600,0.1,"M5DJPI8",100,100,25
"3","calinski.best",8,6.64999999999782,8,0,1600,0.1,"M5DJPI8",100,100,25
"4","apclus.best",26,9.10499999999956,8,18,1600,0.1,"M5DJPI8",100,100,25
"5","BIC_kluster_mean",6,57.4562000000001,8,-2,1600,0.1,"M5DJPI8",100,100,25
"6","cal_kluster_mean",11,104.0494,8,3,1600,0.1,"M5DJPI8",100,100,25
"7","pam_kluster_mean",7,6.36759999999995,8,-1,1600,0.1,"M5DJPI8",100,100,25
"8","ap_kluster_mean",8,2.53671999999991,8,0,1600,0.1,"M5DJPI8",100,100,25
"9","BIC_kluster_frq",8,57.4562000000001,8,0,1600,0.1,"M5DJPI8",100,100,25
"10","cal_kluster_frq",8,104.0494,8,0,1600,0.1,"M5DJPI8",100,100,25
"11","pam_kluster_frq",8,6.36759999999995,8,0,1600,0.1,"M5DJPI8",100,100,25
"12","ap_kluster_frq",8,2.53671999999991,8,0,1600,0.1,"M5DJPI8",100,100,25
"13","BIC.best",8,11.9510000000009,8,0,1600,0.2,"e7DNajW",100,100,25
"14","pamk.best",8,12.5210000000006,8,0,1600,0.2,"e7DNajW",100,100,25
"15","calinski.best",8,5.22100000000137,8,0,1600,0.2,"e7DNajW",100,100,25
"16","apclus.best",20,12.5690000000031,8,12,1600,0.2,"e7DNajW",100,100,25
"17","BIC_kluster_mean",8,39.6181599999999,8,0,1600,0.2,"e7DNajW",100,100,25
"18","cal_kluster_mean",9,93.9510800000002,8,1,1600,0.2,"e7DNajW",100,100,25
"19","pam_kluster_mean",8,6.08819999999992,8,0,1600,0.2,"e7DNajW",100,100,25
"20","ap_kluster_mean",8,2.34063999999998,8,0,1600,0.2,"e7DNajW",100,100,25
"21","BIC_kluster_frq",8,39.6181599999999,8,0,1600,0.2,"e7DNajW",100,100,25
"22","cal_kluster_frq",8,93.9510800000002,8,0,1600,0.2,"e7DNajW",100,100,25
"23","pam_kluster_frq",8,6.08819999999992,8,0,1600,0.2,"e7DNajW",100,100,25
"24","ap_kluster_frq",8,2.34063999999998,8,0,1600,0.2,"e7DNajW",100,100,25
"25","BIC.best",8,10.3139999999985,8,0,1600,0.3,"8E6nXrx",100,100,25
"26","pamk.best",8,10.9279999999999,8,0,1600,0.3,"8E6nXrx",100,100,25
"27","calinski.best",8,4.68800000000192,8,0,1600,0.3,"8E6nXrx",100,100,25
"28","apclus.best",16,12.1800000000003,8,8,1600,0.3,"8E6nXrx",100,100,25
"29","BIC_kluster_mean",9,27.0056399999998,8,1,1600,0.3,"8E6nXrx",100,100,25
"30","cal_kluster_mean",13,97.1296799999995,8,5,1600,0.3,"8E6nXrx",100,100,25
"31","pam_kluster_mean",8,5.9509600000002,8,0,1600,0.3,"8E6nXrx",100,100,25
"32","ap_kluster_mean",8,2.59763999999996,8,0,1600,0.3,"8E6nXrx",100,100,25
"33","BIC_kluster_frq",8,27.0056399999998,8,0,1600,0.3,"8E6nXrx",100,100,25
"34","cal_kluster_frq",15,97.1296799999995,8,7,1600,0.3,"8E6nXrx",100,100,25
"35","pam_kluster_frq",8,5.9509600000002,8,0,1600,0.3,"8E6nXrx",100,100,25
"36","ap_kluster_frq",8,2.59763999999996,8,0,1600,0.3,"8E6nXrx",100,100,25
"37","BIC.best",8,9.83299999999872,8,0,1600,0.4,"7dpPEnk",100,100,25
"38","pamk.best",8,13.0699999999997,8,0,1600,0.4,"7dpPEnk",100,100,25
"39","calinski.best",8,4.47899999999936,8,0,1600,0.4,"7dpPEnk",100,100,25
"40","apclus.best",11,12.0570000000007,8,3,1600,0.4,"7dpPEnk",100,100,25
