"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",13,19.831,13,0,2600,0.1,"HdSwvNb",100,100,25
"2","pamk.best",2,31.362,13,-11,2600,0.1,"HdSwvNb",100,100,25
"3","calinski.best",13,9.686,13,0,2600,0.1,"HdSwvNb",100,100,25
"4","apclus.best",27,31.911,13,14,2600,0.1,"HdSwvNb",100,100,25
"5","BIC_kluster_mean",5,49.75904,13,-8,2600,0.1,"HdSwvNb",100,100,25
"6","cal_kluster_mean",15,90.65996,13,2,2600,0.1,"HdSwvNb",100,100,25
"7","pam_kluster_mean",10,5.60924000000001,13,-3,2600,0.1,"HdSwvNb",100,100,25
"8","ap_kluster_mean",8,2.2702,13,-5,2600,0.1,"HdSwvNb",100,100,25
"9","BIC_kluster_frq",4,49.75904,13,-9,2600,0.1,"HdSwvNb",100,100,25
"10","cal_kluster_frq",15,90.65996,13,2,2600,0.1,"HdSwvNb",100,100,25
"11","pam_kluster_frq",13,5.60924000000001,13,0,2600,0.1,"HdSwvNb",100,100,25
"12","ap_kluster_frq",8,2.2702,13,-5,2600,0.1,"HdSwvNb",100,100,25
"13","BIC.best",13,27.9679999999998,13,0,2600,0.2,"g6HbqNZ",100,100,25
"14","pamk.best",2,25.3330000000001,13,-11,2600,0.2,"g6HbqNZ",100,100,25
"15","calinski.best",13,8.14899999999989,13,0,2600,0.2,"g6HbqNZ",100,100,25
"16","apclus.best",23,27.777,13,10,2600,0.2,"g6HbqNZ",100,100,25
"17","BIC_kluster_mean",7,43.84028,13,-6,2600,0.2,"g6HbqNZ",100,100,25
"18","cal_kluster_mean",14,86.2072,13,1,2600,0.2,"g6HbqNZ",100,100,25
"19","pam_kluster_mean",13,5.45572000000004,13,0,2600,0.2,"g6HbqNZ",100,100,25
"20","ap_kluster_mean",9,2.45248000000003,13,-4,2600,0.2,"g6HbqNZ",100,100,25
"21","BIC_kluster_frq",13,43.84028,13,0,2600,0.2,"g6HbqNZ",100,100,25
"22","cal_kluster_frq",15,86.2072,13,2,2600,0.2,"g6HbqNZ",100,100,25
"23","pam_kluster_frq",13,5.45572000000004,13,0,2600,0.2,"g6HbqNZ",100,100,25
"24","ap_kluster_frq",9,2.45248000000003,13,-4,2600,0.2,"g6HbqNZ",100,100,25
"25","BIC.best",14,18.6890000000003,13,1,2600,0.3,"Akpwj7j",100,100,25
"26","pamk.best",2,22.2959999999994,13,-11,2600,0.3,"Akpwj7j",100,100,25
"27","calinski.best",13,6.71700000000055,13,0,2600,0.3,"Akpwj7j",100,100,25
"28","apclus.best",15,27.3180000000002,13,2,2600,0.3,"Akpwj7j",100,100,25
"29","BIC_kluster_mean",13,34.3222800000001,13,0,2600,0.3,"Akpwj7j",100,100,25
"30","cal_kluster_mean",15,83.06172,13,2,2600,0.3,"Akpwj7j",100,100,25
"31","pam_kluster_mean",13,5.27600000000006,13,0,2600,0.3,"Akpwj7j",100,100,25
"32","ap_kluster_mean",9,2.45591999999997,13,-4,2600,0.3,"Akpwj7j",100,100,25
"33","BIC_kluster_frq",13,34.3222800000001,13,0,2600,0.3,"Akpwj7j",100,100,25
"34","cal_kluster_frq",15,83.06172,13,2,2600,0.3,"Akpwj7j",100,100,25
"35","pam_kluster_frq",13,5.27600000000006,13,0,2600,0.3,"Akpwj7j",100,100,25
"36","ap_kluster_frq",9,2.45591999999997,13,-4,2600,0.3,"Akpwj7j",100,100,25
"37","BIC.best",14,12.5630000000001,13,1,2600,0.4,"clad2F5",100,100,25
"38","pamk.best",10,23.7330000000002,13,-3,2600,0.4,"clad2F5",100,100,25
"39","calinski.best",13,6.21500000000015,13,0,2600,0.4,"clad2F5",100,100,25
"40","apclus.best",13,19.3099999999995,13,0,2600,0.4,"clad2F5",100,100,25
"41","BIC_kluster_mean",13,28.04344,13,0,2600,0.4,"clad2F5",100,100,25
"42","cal_kluster_mean",14,85.36556,13,1,2600,0.4,"clad2F5",100,100,25
"43","pam_kluster_mean",13,5.4630000000001,13,0,2600,0.4,"clad2F5",100,100,25
"44","ap_kluster_mean",10,2.26584000000003,13,-3,2600,0.4,"clad2F5",100,100,25
"45","BIC_kluster_frq",13,28.04344,13,0,2600,0.4,"clad2F5",100,100,25
"46","cal_kluster_frq",15,85.36556,13,2,2600,0.4,"clad2F5",100,100,25
"47","pam_kluster_frq",13,5.4630000000001,13,0,2600,0.4,"clad2F5",100,100,25
"48","ap_kluster_frq",10,2.26584000000003,13,-3,2600,0.4,"clad2F5",100,100,25
"49","BIC.best",14,12.7860000000001,13,1,2600,0.5,"nLcpETL",100,100,25
"50","pamk.best",10,35.5560000000005,13,-3,2600,0.5,"nLcpETL",100,100,25
"51","calinski.best",13,5.37799999999879,13,0,2600,0.5,"nLcpETL",100,100,25
"52","apclus.best",13,18.9060000000009,13,0,2600,0.5,"nLcpETL",100,100,25
"53","BIC_kluster_mean",13,25.9879599999999,13,0,2600,0.5,"nLcpETL",100,100,25
"54","cal_kluster_mean",14,82.5181200000001,13,1,2600,0.5,"nLcpETL",100,100,25
"55","pam_kluster_mean",13,5.21675999999999,13,0,2600,0.5,"nLcpETL",100,100,25
"56","ap_kluster_mean",11,2.47511999999988,13,-2,2600,0.5,"nLcpETL",100,100,25
"57","BIC_kluster_frq",13,25.9879599999999,13,0,2600,0.5,"nLcpETL",100,100,25
"58","cal_kluster_frq",15,82.5181200000001,13,2,2600,0.5,"nLcpETL",100,100,25
"59","pam_kluster_frq",13,5.21675999999999,13,0,2600,0.5,"nLcpETL",100,100,25
"60","ap_kluster_frq",11,2.47511999999988,13,-2,2600,0.5,"nLcpETL",100,100,25
