"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",6,10.4689999999973,6,0,1200,0.1,"CFROiqx",100,100,25
"2","pamk.best",6,6.76900000000023,6,0,1200,0.1,"CFROiqx",100,100,25
"3","calinski.best",6,4.18300000000454,6,0,1200,0.1,"CFROiqx",100,100,25
"4","apclus.best",21,9.32799999999406,6,15,1200,0.1,"CFROiqx",100,100,25
"5","BIC_kluster_mean",6,41.5953199999995,6,0,1200,0.1,"CFROiqx",100,100,25
"6","cal_kluster_mean",12,89.5896400000009,6,6,1200,0.1,"CFROiqx",100,100,25
"7","pam_kluster_mean",5,5.26620000000112,6,-1,1200,0.1,"CFROiqx",100,100,25
"8","ap_kluster_mean",6,2.18199999999953,6,0,1200,0.1,"CFROiqx",100,100,25
"9","BIC_kluster_frq",6,41.5953199999995,6,0,1200,0.1,"CFROiqx",100,100,25
"10","cal_kluster_frq",15,89.5896400000009,6,9,1200,0.1,"CFROiqx",100,100,25
"11","pam_kluster_frq",6,5.26620000000112,6,0,1200,0.1,"CFROiqx",100,100,25
"12","ap_kluster_frq",6,2.18199999999953,6,0,1200,0.1,"CFROiqx",100,100,25
"13","BIC.best",6,9.31200000000536,6,0,1200,0.2,"yTOEF5t",100,100,25
"14","pamk.best",6,5.9210000000021,6,0,1200,0.2,"yTOEF5t",100,100,25
"15","calinski.best",6,3.78700000001118,6,0,1200,0.2,"yTOEF5t",100,100,25
"16","apclus.best",17,4.97999999999593,6,11,1200,0.2,"yTOEF5t",100,100,25
"17","BIC_kluster_mean",6,34.0000400000007,6,0,1200,0.2,"yTOEF5t",100,100,25
"18","cal_kluster_mean",8,85.2777600000001,6,2,1200,0.2,"yTOEF5t",100,100,25
"19","pam_kluster_mean",5,5.25320000000007,6,-1,1200,0.2,"yTOEF5t",100,100,25
"20","ap_kluster_mean",6,1.89119999999937,6,0,1200,0.2,"yTOEF5t",100,100,25
"21","BIC_kluster_frq",6,34.0000400000007,6,0,1200,0.2,"yTOEF5t",100,100,25
"22","cal_kluster_frq",6,85.2777600000001,6,0,1200,0.2,"yTOEF5t",100,100,25
"23","pam_kluster_frq",6,5.25320000000007,6,0,1200,0.2,"yTOEF5t",100,100,25
"24","ap_kluster_frq",6,1.89119999999937,6,0,1200,0.2,"yTOEF5t",100,100,25
"25","BIC.best",6,8.86000000000058,6,0,1200,0.3,"dY4fqBp",100,100,25
"26","pamk.best",6,5.09300000000803,6,0,1200,0.3,"dY4fqBp",100,100,25
"27","calinski.best",6,3.0969999999943,6,0,1200,0.3,"dY4fqBp",100,100,25
"28","apclus.best",15,6.05199999999604,6,9,1200,0.3,"dY4fqBp",100,100,25
"29","BIC_kluster_mean",6,27.42772,6,0,1200,0.3,"dY4fqBp",100,100,25
"30","cal_kluster_mean",8,79.8906400000007,6,2,1200,0.3,"dY4fqBp",100,100,25
"31","pam_kluster_mean",6,5.17383999999962,6,0,1200,0.3,"dY4fqBp",100,100,25
"32","ap_kluster_mean",6,1.97244000000006,6,0,1200,0.3,"dY4fqBp",100,100,25
"33","BIC_kluster_frq",6,27.42772,6,0,1200,0.3,"dY4fqBp",100,100,25
"34","cal_kluster_frq",6,79.8906400000007,6,0,1200,0.3,"dY4fqBp",100,100,25
"35","pam_kluster_frq",6,5.17383999999962,6,0,1200,0.3,"dY4fqBp",100,100,25
"36","ap_kluster_frq",6,1.97244000000006,6,0,1200,0.3,"dY4fqBp",100,100,25
"37","BIC.best",6,6.9890000000014,6,0,1200,0.4,"AEbOPFp",100,100,25
"38","pamk.best",6,6.92299999999523,6,0,1200,0.4,"AEbOPFp",100,100,25
"39","calinski.best",6,2.97000000000116,6,0,1200,0.4,"AEbOPFp",100,100,25
"40","apclus.best",13,5.34399999999732,6,7,1200,0.4,"AEbOPFp",100,100,25
"41","BIC_kluster_mean",6,25.0725599999999,6,0,1200,0.4,"AEbOPFp",100,100,25
"42","cal_kluster_mean",11,81.6368800000002,6,5,1200,0.4,"AEbOPFp",100,100,25
"43","pam_kluster_mean",5,5.17103999999992,6,-1,1200,0.4,"AEbOPFp",100,100,25
"44","ap_kluster_mean",6,1.93419999999984,6,0,1200,0.4,"AEbOPFp",100,100,25
"45","BIC_kluster_frq",6,25.0725599999999,6,0,1200,0.4,"AEbOPFp",100,100,25
"46","cal_kluster_frq",15,81.6368800000002,6,9,1200,0.4,"AEbOPFp",100,100,25
"47","pam_kluster_frq",6,5.17103999999992,6,0,1200,0.4,"AEbOPFp",100,100,25
"48","ap_kluster_frq",6,1.93419999999984,6,0,1200,0.4,"AEbOPFp",100,100,25
"49","BIC.best",6,8.44899999999325,6,0,1200,0.5,"Z986kct",100,100,25
"50","pamk.best",6,4.75400000000081,6,0,1200,0.5,"Z986kct",100,100,25
